Start_X,Start_Y,End_X,End_Y,Z_Base,Z_Top,Width,Depth,Floor_Level
3.2604687213897705,5.641730785369873,8.351167678833008,5.641730785369873,2.65,3.0,0.25,0.35,2
3.2604687213897705,5.641730785369873,8.351167678833008,5.641730785369873,5.45,5.8,0.25,0.35,3
3.2604687213897705,8.650237083435059,8.351167678833008,8.650237083435059,2.65,3.0,0.25,0.35,2
3.2604687213897705,8.650237083435059,8.351167678833008,8.650237083435059,5.45,5.8,0.25,0.35,3
6.520937442779541,-1.66175377368927,6.520937442779541,1.3467525243759155,1.15,1.5,0.25,0.35,2
6.520937442779541,-1.66175377368927,6.520937442779541,1.3467525243759155,2.4499999999999997,2.8,0.25,0.35,3
11.611636400222778,-1.66175377368927,11.611636400222778,1.3467525243759155,1.15,1.5,0.25,0.35,2
11.611636400222778,-1.66175377368927,11.611636400222778,1.3467525243759155,2.4499999999999997,2.8,0.25,0.35,3
6.520937442779541,-1.66175377368927,11.611636400222778,-1.66175377368927,1.15,1.5,0.25,0.35,2
6.520937442779541,-1.66175377368927,11.611636400222778,-1.66175377368927,2.4499999999999997,2.8,0.25,0.35,3
